Obs,Block,Trt,Rating,Y
1,1,0,slight,1
2,1,0,modera,4
3,1,0,severe,23
4,1,1,slight,2
5,1,1,modera,7
6,1,1,severe,23
7,1,2,slight,4
8,1,2,modera,7
9,1,2,severe,18
10,2,3,slight,8
11,2,3,modera,8
12,2,3,severe,5
13,2,4,slight,14
14,2,4,modera,14
15,2,4,severe,7
16,2,5,slight,14
17,2,5,modera,11
18,2,5,severe,1
19,3,0,slight,3
20,3,0,modera,6
21,3,0,severe,11
22,3,1,slight,5
23,3,1,modera,9
24,3,1,severe,15
25,3,2,slight,9
26,3,2,modera,5
27,3,2,severe,11
28,4,3,slight,11
29,4,3,modera,9
30,4,3,severe,6
31,4,4,slight,14
32,4,4,modera,9
33,4,4,severe,3
34,4,5,slight,14
35,4,5,modera,6
36,4,5,severe,2
37,5,0,slight,0
38,5,0,modera,6
39,5,0,severe,13
40,5,1,slight,4
41,5,1,modera,7
42,5,1,severe,16
43,5,2,slight,12
44,5,2,modera,12
45,5,2,severe,4
46,6,3,slight,6
47,6,3,modera,14
48,6,3,severe,14
49,6,4,slight,10
50,6,4,modera,13
51,6,4,severe,8
52,6,5,slight,16
53,6,5,modera,9
54,6,5,severe,4
55,7,0,slight,3
56,7,0,modera,9
57,7,0,severe,17
58,7,1,slight,2
59,7,1,modera,6
60,7,1,severe,22
61,7,2,slight,3
62,7,2,modera,10
63,7,2,severe,9
64,8,3,slight,8
65,8,3,modera,13
66,8,3,severe,6
67,8,4,slight,13
68,8,4,modera,10
69,8,4,severe,1
70,8,5,slight,17
71,8,5,modera,7
72,8,5,severe,1
73,9,0,slight,2
74,9,0,modera,3
75,9,0,severe,23
76,9,1,slight,1
77,9,1,modera,5
78,9,1,severe,19
79,9,2,slight,2
80,9,2,modera,13
81,9,2,severe,4
82,10,3,slight,4
83,10,3,modera,2
84,10,3,severe,8
85,10,4,slight,14
86,10,4,modera,5
87,10,4,severe,11
88,10,5,slight,12
89,10,5,modera,4
90,10,5,severe,7
