Effect,rating,trt,Estimate,StdErr,DF,tValue,Probt,method
Intercept,slight,_,-2.4916,0.2637,8,-9.45,<.0001,Laplace
Intercept,moderate,_,-0.8451,0.2493,8,-3.39,0.0095,Laplace
trt,,1,0.1644,0.2638,768,0.62,0.5334,Laplace
trt,,2,1.3603,0.2592,768,5.25,<.0001,Laplace
trt,,3,1.6081,0.3403,768,4.72,<.0001,Laplace
trt,,4,2.2598,0.3366,768,6.71,<.0001,Laplace
trt,,5,2.8443,0.3496,768,8.14,<.0001,Laplace
trt,,0,0,,,,,Laplace
Intercept,slight,_,-2.4916,0.2637,8,-9.45,<.0001,Quadrat
Intercept,moderate,_,-0.8451,0.2493,8,-3.39,0.0095,Quadrat
trt,,1,0.1644,0.2638,768,0.62,0.5334,Quadrat
trt,,2,1.3603,0.2592,768,5.25,<.0001,Quadrat
trt,,3,1.6081,0.3403,768,4.72,<.0001,Quadrat
trt,,4,2.2598,0.3366,768,6.71,<.0001,Quadrat
trt,,5,2.8443,0.3496,768,8.14,<.0001,Quadrat
trt,,0,0,,,,,Quadrat
Intercept,slight,_,-2.4800,0.2628,8,-9.44,<.0001,MSPL
Intercept,moderate,_,-0.8374,0.2487,8,-3.37,0.0098,MSPL
trt,,1,0.1633,0.2631,768,0.62,0.5349,MSPL
trt,,2,1.3521,0.2600,768,5.20,<.0001,MSPL
trt,,3,1.5987,0.3389,768,4.72,<.0001,MSPL
trt,,4,2.2475,0.3352,768,6.70,<.0001,MSPL
trt,,5,2.8287,0.3482,768,8.12,<.0001,MSPL
trt,,0,0,,,,,MSPL
Intercept,slight,_,-2.4257,0.2570,8,-9.44,<.0001,MMPL
Intercept,moderate,_,-0.8173,0.2431,8,-3.36,0.0099,MMPL
trt,,1,0.1519,0.2595,768,0.59,0.5584,MMPL
trt,,2,1.3113,0.2570,768,5.10,<.0001,MMPL
trt,,3,1.5723,0.3321,768,4.73,<.0001,MMPL
trt,,4,2.2146,0.3284,768,6.74,<.0001,MMPL
trt,,5,2.7836,0.3414,768,8.15,<.0001,MMPL
trt,,0,0,,,,,MMPL
