Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
P(slight trt0),0.07645,0.01861,768,4.11,0.0760,0.05,0.03990,0.1130
P(moderate trt0),0.2240,0.03574,768,6.27,0.0504,0.05,0.1539,0.2942
P(severe trt0),0.6995,0.05240,768,13.35,0.0238,0.05,0.5967,0.8024
P(slight trt1),0.08889,0.02018,768,4.41,0.0710,0.05,0.04928,0.1285
P(moderate trt1),0.2472,0.03462,768,7.14,0.0443,0.05,0.1793,0.3152
P(severe trt1),0.6639,0.05233,768,12.69,0.0250,0.05,0.5612,0.7666
P(slight trt2),0.2439,0.04320,768,5.65,0.0558,0.05,0.1591,0.3287
P(moderate trt2),0.3821,0.02274,768,16.80,0.0189,0.05,0.3375,0.4268
P(severe trt2),0.3740,0.05392,768,6.94,0.0456,0.05,0.2681,0.4798
P(slight trt3),0.2924,0.04855,768,6.02,0.0524,0.05,0.1971,0.3877
P(moderate trt3),0.3896,0.02057,768,18.94,0.0168,0.05,0.3492,0.4299
P(severe trt3),0.3180,0.05069,768,6.27,0.0503,0.05,0.2185,0.4175
P(slight trt4),0.4423,0.05461,768,8.10,0.0391,0.05,0.3351,0.5495
P(moderate trt4),0.3622,0.02655,768,13.64,0.0233,0.05,0.3101,0.4143
P(severe trt4),0.1955,0.03603,768,5.43,0.0580,0.05,0.1248,0.2662
P(slight trt5),0.5873,0.05714,768,10.28,0.0309,0.05,0.4751,0.6994
P(moderate trt5),0.2935,0.03461,768,8.48,0.0374,0.05,0.2255,0.3614
P(severe trt5),0.1193,0.02609,768,4.57,0.0685,0.05,0.06807,0.1705
