Label,Estimate,Standard Error,DF,t Value,Pr > |t|,Alpha,Lower,Upper
blk variance,1.5403,0.8421,8,1.83,0.1048,0.05,-0.4015,3.4822
blk*trt variance,1.2973,0.4361,8,2.97,0.0177,0.05,0.2916,2.3029
prob rating=A variety=1,0.2912,0.1028,8,2.83,0.0221,0.05,0.05407,0.5283
prob rating=B variety=1,0.4413,0.02716,8,16.25,<.0001,0.05,0.3787,0.504
prob rating=C variety=1,0.2675,0.09784,8,2.73,0.0257,0.05,0.04186,0.4931
prob rating=A variety=2,0.04181,0.02168,8,1.93,0.09,0.05,-0.00819,0.09181
prob rating=B variety=2,0.9183,0.01696,8,54.16,<.0001,0.05,0.8792,0.9574
prob rating=C variety=2,0.03985,0.02101,8,1.9,0.0945,0.05,-0.00861,0.0883
prob rating=A variety=3,0.4666,0.1243,8,3.75,0.0056,0.05,0.1801,0.7532
prob rating=B variety=3,0.08611,0.01524,8,5.65,0.0005,0.05,0.05096,0.1213
prob rating=C variety=3,0.4472,0.1235,8,3.62,0.0068,0.05,0.1624,0.732
