block,plot,treatment,date,abundance,richness
2,401,1,6/16/2020,1,1
2,401,1,6/18/2020,11,1
2,401,1,8/11/2020,3,3
2,401,1,8/25/2020,0,0
2,401,1,8/28/2020,8,5
2,401,1,9/8/2020,12,7
2,401,1,7/27/2020,5,2
2,401,1,7/13/2020,0,0
2,401,1,6/30/2020,5,2
2,401,1,7/14/2020,1,1
2,401,1,8/12/2020,0,0
2,401,1,8/26/2020,0,0
2,402,2,6/16/2020,1,1
2,402,2,6/18/2020,1,1
2,402,2,8/11/2020,3,3
2,402,2,8/25/2020,0,0
2,402,2,8/28/2020,4,4
2,402,2,9/8/2020,12,5
2,402,2,7/27/2020,1,1
2,402,2,7/13/2020,0,0
2,402,2,6/30/2020,2,2
2,402,2,7/14/2020,1,1
2,402,2,8/12/2020,0,0
2,402,2,8/26/2020,0,0
3,502,7,6/16/2020,0,0
3,502,7,6/18/2020,4,3
3,502,7,8/11/2020,1,1
3,502,7,8/25/2020,0,0
3,502,7,8/28/2020,4,3
3,502,7,9/8/2020,19,8
3,502,7,7/27/2020,2,1
3,502,7,7/13/2020,0,0
3,502,7,6/30/2020,1,1
3,502,7,7/14/2020,2,2
3,502,7,8/12/2020,0,0
3,502,7,8/26/2020,0,0
1,103,3,6/16/2020,0,0
1,103,3,6/18/2020,2,1
1,103,3,8/11/2020,0,0
1,103,3,8/25/2020,0,0
1,103,3,8/28/2020,8,6
1,103,3,9/8/2020,7,4
1,103,3,7/27/2020,0,0
1,103,3,7/13/2020,0,0
1,103,3,6/30/2020,0,0
1,103,3,7/14/2020,3,2
1,103,3,8/12/2020,0,0
1,103,3,8/26/2020,0,0
2,303,6,6/16/2020,0,0
2,303,6,6/18/2020,14,1
2,303,6,8/11/2020,0,0
2,303,6,8/25/2020,0,0
2,303,6,8/28/2020,7,4
2,303,6,9/8/2020,8,5
2,303,6,7/27/2020,3,2
2,303,6,7/13/2020,0,0
2,303,6,6/30/2020,0,0
2,303,6,7/14/2020,2,2
2,303,6,8/12/2020,0,0
2,303,6,8/26/2020,0,0
3,501,5,6/16/2020,0,0
3,501,5,6/18/2020,3,3
3,501,5,8/11/2020,0,0
3,501,5,8/25/2020,0,0
3,501,5,8/28/2020,6,4
3,501,5,9/8/2020,5,3
3,501,5,7/27/2020,3,3
3,501,5,7/13/2020,0,0
3,501,5,6/30/2020,0,0
3,501,5,7/14/2020,1,1
3,501,5,8/12/2020,0,0
3,501,5,8/26/2020,0,0
1,102,2,6/16/2020,0,0
1,102,2,6/18/2020,3,2
1,102,2,8/11/2020,0,0
1,102,2,8/25/2020,0,0
1,102,2,8/28/2020,1,1
1,102,2,9/8/2020,23,12
1,102,2,7/27/2020,2,2
1,102,2,7/13/2020,0,0
1,102,2,6/30/2020,0,0
1,102,2,7/14/2020,0,0
1,102,2,8/12/2020,0,0
1,102,2,8/26/2020,0,0
4,802,3,6/16/2020,0,0
4,802,3,6/18/2020,19,5
4,802,3,8/11/2020,9,3
4,802,3,8/25/2020,0,0
4,802,3,8/28/2020,3,2
4,802,3,9/8/2020,0,0
4,802,3,7/27/2020,1,1
4,802,3,7/13/2020,0,0
4,802,3,6/30/2020,1,1
4,802,3,7/14/2020,1,1
4,802,3,8/12/2020,0,0
4,802,3,8/26/2020,0,0
1,104,7,6/16/2020,0,0
1,104,7,6/18/2020,13,2
1,104,7,8/11/2020,6,5
1,104,7,8/25/2020,0,0
1,104,7,8/28/2020,13,5
1,104,7,9/8/2020,10,6
1,104,7,7/27/2020,2,2
1,104,7,7/13/2020,0,0
1,104,7,6/30/2020,6,2
1,104,7,7/14/2020,4,2
1,104,7,8/12/2020,0,0
1,104,7,8/26/2020,0,0
1,203,5,6/16/2020,0,0
1,203,5,6/18/2020,13,4
1,203,5,8/11/2020,10,4
1,203,5,8/25/2020,0,0
1,203,5,8/28/2020,9,7
1,203,5,9/8/2020,1,1
1,203,5,7/27/2020,1,1
1,203,5,7/13/2020,0,0
1,203,5,6/30/2020,0,0
1,203,5,7/14/2020,1,1
1,203,5,8/12/2020,0,0
1,203,5,8/26/2020,0,0
2,302,3,6/16/2020,0,0
2,302,3,6/18/2020,10,2
2,302,3,8/11/2020,2,2
2,302,3,8/25/2020,0,0
2,302,3,8/28/2020,2,2
2,302,3,9/8/2020,12,7
2,302,3,7/27/2020,1,1
2,302,3,7/13/2020,0,0
2,302,3,6/30/2020,0,0
2,302,3,7/14/2020,1,1
2,302,3,8/12/2020,0,0
2,302,3,8/26/2020,0,0
2,403,7,6/16/2020,0,0
2,403,7,6/18/2020,1,1
2,403,7,8/11/2020,2,2
2,403,7,8/25/2020,0,0
2,403,7,8/28/2020,4,3
2,403,7,9/8/2020,5,2
2,403,7,7/27/2020,2,2
2,403,7,7/13/2020,0,0
2,403,7,6/30/2020,0,0
2,403,7,7/14/2020,1,1
2,403,7,8/12/2020,0,0
2,403,7,8/26/2020,0,0
4,701,7,6/16/2020,0,0
4,701,7,6/18/2020,4,3
4,701,7,8/11/2020,2,1
4,701,7,8/25/2020,0,0
4,701,7,8/28/2020,1,1
4,701,7,9/8/2020,3,3
4,701,7,7/27/2020,2,2
4,701,7,7/13/2020,0,0
4,701,7,6/30/2020,0,0
4,701,7,7/14/2020,0,0
4,701,7,8/12/2020,0,0
4,701,7,8/26/2020,0,0
4,703,6,6/16/2020,0,0
4,703,6,6/18/2020,24,3
4,703,6,8/11/2020,5,3
4,703,6,8/25/2020,0,0
4,703,6,8/28/2020,7,4
4,703,6,9/8/2020,2,2
4,703,6,7/27/2020,2,2
4,703,6,7/13/2020,0,0
4,703,6,6/30/2020,5,2
4,703,6,7/14/2020,4,3
4,703,6,8/12/2020,0,0
4,703,6,8/26/2020,0,0
1,202,1,6/16/2020,0,0
1,202,1,6/18/2020,18,2
1,202,1,8/11/2020,0,0
1,202,1,8/25/2020,0,0
1,202,1,8/28/2020,2,2
1,202,1,9/8/2020,13,5
1,202,1,7/27/2020,0,0
1,202,1,7/13/2020,0,0
1,202,1,6/30/2020,2,1
1,202,1,7/14/2020,0,0
1,202,1,8/12/2020,0,0
1,202,1,8/26/2020,0,0
2,304,4,6/16/2020,0,0
2,304,4,6/18/2020,11,3
2,304,4,8/11/2020,6,4
2,304,4,8/25/2020,0,0
2,304,4,8/28/2020,0,0
2,304,4,9/8/2020,4,4
2,304,4,7/27/2020,1,1
2,304,4,7/13/2020,0,0
2,304,4,6/30/2020,0,0
2,304,4,7/14/2020,0,0
2,304,4,8/12/2020,0,0
2,304,4,8/26/2020,0,0
3,503,6,6/16/2020,0,0
3,503,6,6/18/2020,2,2
3,503,6,8/11/2020,1,1
3,503,6,8/25/2020,0,0
3,503,6,8/28/2020,15,3
3,503,6,9/8/2020,1,1
3,503,6,7/27/2020,1,1
3,503,6,7/13/2020,0,0
3,503,6,6/30/2020,0,0
3,503,6,7/14/2020,1,1
3,503,6,8/12/2020,0,0
3,503,6,8/26/2020,0,0
3,602,2,6/16/2020,0,0
3,602,2,6/18/2020,8,1
3,602,2,8/11/2020,1,1
3,602,2,8/25/2020,0,0
3,602,2,8/28/2020,0,0
3,602,2,9/8/2020,12,7
3,602,2,7/27/2020,9,3
3,602,2,7/13/2020,0,0
3,602,2,6/30/2020,1,1
3,602,2,7/14/2020,0,0
3,602,2,8/12/2020,0,0
3,602,2,8/26/2020,0,0
1,201,4,6/16/2020,0,0
1,201,4,6/18/2020,8,3
1,201,4,8/11/2020,6,4
1,201,4,8/25/2020,0,0
1,201,4,8/28/2020,6,5
1,201,4,9/8/2020,2,2
1,201,4,7/27/2020,0,0
1,201,4,7/13/2020,0,0
1,201,4,6/30/2020,0,0
1,201,4,7/14/2020,0,0
1,201,4,8/12/2020,0,0
1,201,4,8/26/2020,0,0
4,704,5,6/16/2020,0,0
4,704,5,6/18/2020,13,2
4,704,5,8/11/2020,2,2
4,704,5,8/25/2020,0,0
4,704,5,8/28/2020,4,4
4,704,5,9/8/2020,7,5
4,704,5,7/27/2020,3,2
4,704,5,7/13/2020,0,0
4,704,5,6/30/2020,1,1
4,704,5,7/14/2020,2,2
4,704,5,8/12/2020,0,0
4,704,5,8/26/2020,0,0
4,702,4,6/16/2020,0,0
4,702,4,6/18/2020,17,4
4,702,4,8/11/2020,6,4
4,702,4,8/25/2020,0,0
4,702,4,8/28/2020,0,0
4,702,4,9/8/2020,10,3
4,702,4,7/27/2020,1,1
4,702,4,7/13/2020,0,0
4,702,4,6/30/2020,2,2
4,702,4,7/14/2020,1,1
4,702,4,8/12/2020,0,0
4,702,4,8/26/2020,0,0
3,504,3,6/16/2020,0,0
3,504,3,6/18/2020,9,4
3,504,3,8/11/2020,1,1
3,504,3,8/25/2020,0,0
3,504,3,8/28/2020,9,4
3,504,3,9/8/2020,6,4
3,504,3,7/27/2020,0,0
3,504,3,7/13/2020,0,0
3,504,3,6/30/2020,0,0
3,504,3,7/14/2020,2,1
3,504,3,8/12/2020,0,0
3,504,3,8/26/2020,0,0
3,603,4,6/16/2020,0,0
3,603,4,6/18/2020,7,1
3,603,4,8/11/2020,6,5
3,603,4,8/25/2020,0,0
3,603,4,8/28/2020,0,0
3,603,4,9/8/2020,2,2
3,603,4,7/27/2020,1,1
3,603,4,7/13/2020,0,0
3,603,4,6/30/2020,0,0
3,603,4,7/14/2020,0,0
3,603,4,8/12/2020,0,0
3,603,4,8/26/2020,4,4
1,101,6,6/16/2020,0,0
1,101,6,6/18/2020,1,1
1,101,6,8/11/2020,4,3
1,101,6,8/25/2020,0,0
1,101,6,8/28/2020,5,3
1,101,6,9/8/2020,9,4
1,101,6,7/27/2020,0,0
1,101,6,7/13/2020,0,0
1,101,6,6/30/2020,4,1
1,101,6,7/14/2020,4,2
1,101,6,8/12/2020,0,0
1,101,6,8/26/2020,0,0
3,601,1,6/16/2020,0,0
3,601,1,6/18/2020,17,4
3,601,1,8/11/2020,2,2
3,601,1,8/25/2020,0,0
3,601,1,8/28/2020,10,4
3,601,1,9/8/2020,5,3
3,601,1,7/27/2020,2,2
3,601,1,7/13/2020,0,0
3,601,1,6/30/2020,0,0
3,601,1,7/14/2020,1,1
3,601,1,8/12/2020,0,0
3,601,1,8/26/2020,0,0
4,803,2,6/16/2020,0,0
4,803,2,6/18/2020,7,2
4,803,2,8/11/2020,1,1
4,803,2,8/25/2020,0,0
4,803,2,8/28/2020,4,3
4,803,2,9/8/2020,4,3
4,803,2,7/27/2020,2,1
4,803,2,7/13/2020,0,0
4,803,2,6/30/2020,1,1
4,803,2,7/14/2020,4,3
4,803,2,8/12/2020,0,0
4,803,2,8/26/2020,0,0
4,801,1,6/16/2020,0,0
4,801,1,6/18/2020,23,3
4,801,1,8/11/2020,4,4
4,801,1,8/25/2020,0,0
4,801,1,8/28/2020,3,2
4,801,1,9/8/2020,13,6
4,801,1,7/27/2020,5,3
4,801,1,7/13/2020,0,0
4,801,1,6/30/2020,2,2
4,801,1,7/14/2020,1,1
4,801,1,8/12/2020,0,0
4,801,1,8/26/2020,0,0
4,701,7,6/16/2020,0,0
4,701,7,6/18/2020,0,0
4,701,7,8/11/2020,12,1
4,701,7,8/25/2020,23,1
4,701,7,8/28/2020,0,0
4,701,7,9/8/2020,11,3
4,701,7,7/27/2020,2,1
4,701,7,7/13/2020,1,1
4,701,7,6/30/2020,0,0
4,701,7,7/14/2020,0,0
4,701,7,8/12/2020,0,0
4,701,7,8/26/2020,0,0
3,602,2,6/16/2020,0,0
3,602,2,6/18/2020,0,0
3,602,2,8/11/2020,4,1
3,602,2,8/25/2020,7,1
3,602,2,8/28/2020,0,0
3,602,2,9/8/2020,20,1
3,602,2,7/27/2020,4,1
3,602,2,7/13/2020,3,2
3,602,2,6/30/2020,0,0
3,602,2,7/14/2020,0,0
3,602,2,8/12/2020,0,0
3,602,2,8/26/2020,0,0
4,803,2,6/16/2020,0,0
4,803,2,6/18/2020,0,0
4,803,2,8/11/2020,1,1
4,803,2,8/25/2020,9,3
4,803,2,8/28/2020,0,0
4,803,2,9/8/2020,23,4
4,803,2,7/27/2020,1,1
4,803,2,7/13/2020,3,2
4,803,2,6/30/2020,0,0
4,803,2,7/14/2020,0,0
4,803,2,8/12/2020,0,0
4,803,2,8/26/2020,0,0
3,503,6,6/16/2020,0,0
3,503,6,6/18/2020,0,0
3,503,6,8/11/2020,2,2
3,503,6,8/25/2020,4,1
3,503,6,8/28/2020,0,0
3,503,6,9/8/2020,21,2
3,503,6,7/27/2020,0,0
3,503,6,7/13/2020,1,1
3,503,6,6/30/2020,0,0
3,503,6,7/14/2020,0,0
3,503,6,8/12/2020,0,0
3,503,6,8/26/2020,0,0
2,301,5,6/16/2020,0,0
2,301,5,6/18/2020,0,0
2,301,5,8/11/2020,3,2
2,301,5,8/25/2020,0,0
2,301,5,8/28/2020,6,3
2,301,5,9/8/2020,9,6
2,301,5,7/27/2020,3,3
2,301,5,7/13/2020,0,0
2,301,5,6/30/2020,0,0
2,301,5,7/14/2020,0,0
2,301,5,8/12/2020,0,0
2,301,5,8/26/2020,0,0
3,501,5,6/16/2020,0,0
3,501,5,6/18/2020,3,2
3,501,5,8/11/2020,8,1
3,501,5,8/25/2020,0,0
3,501,5,8/28/2020,0,0
3,501,5,9/8/2020,21,4
3,501,5,7/27/2020,2,1
3,501,5,7/13/2020,2,1
3,501,5,6/30/2020,0,0
3,501,5,7/14/2020,0,0
3,501,5,8/12/2020,0,0
3,501,5,8/26/2020,0,0
1,101,6,6/16/2020,0,0
1,101,6,6/18/2020,0,0
1,101,6,8/11/2020,0,0
1,101,6,8/25/2020,2,2
1,101,6,8/28/2020,0,0
1,101,6,9/8/2020,20,3
1,101,6,7/27/2020,5,2
1,101,6,7/13/2020,4,1
1,101,6,6/30/2020,0,0
1,101,6,7/14/2020,0,0
1,101,6,8/12/2020,0,0
1,101,6,8/26/2020,0,0
2,401,1,6/16/2020,0,0
2,401,1,6/18/2020,0,0
2,401,1,8/11/2020,7,1
2,401,1,8/25/2020,12,1
2,401,1,8/28/2020,0,0
2,401,1,9/8/2020,17,3
2,401,1,7/27/2020,0,0
2,401,1,7/13/2020,0,0
2,401,1,6/30/2020,0,0
2,401,1,7/14/2020,0,0
2,401,1,8/12/2020,0,0
2,401,1,8/26/2020,0,0
2,304,4,6/16/2020,0,0
2,304,4,6/18/2020,0,0
2,304,4,8/11/2020,1,1
2,304,4,8/25/2020,2,2
2,304,4,8/28/2020,0,0
2,304,4,9/8/2020,16,2
2,304,4,7/27/2020,3,2
2,304,4,7/13/2020,7,3
2,304,4,6/30/2020,0,0
2,304,4,7/14/2020,0,0
2,304,4,8/12/2020,0,0
2,304,4,8/26/2020,0,0
2,301,5,6/16/2020,0,0
2,301,5,6/18/2020,0,0
2,301,5,8/11/2020,0,0
2,301,5,8/25/2020,5,1
2,301,5,8/28/2020,0,0
2,301,5,9/8/2020,13,1
2,301,5,7/27/2020,2,1
2,301,5,7/13/2020,4,1
2,301,5,6/30/2020,0,0
2,301,5,7/14/2020,0,0
2,301,5,8/12/2020,0,0
2,301,5,8/26/2020,0,0
1,103,3,6/16/2020,0,0
1,103,3,6/18/2020,0,0
1,103,3,8/11/2020,18,1
1,103,3,8/25/2020,3,1
1,103,3,8/28/2020,0,0
1,103,3,9/8/2020,3,1
1,103,3,7/27/2020,1,1
1,103,3,7/13/2020,2,2
1,103,3,6/30/2020,0,0
1,103,3,7/14/2020,0,0
1,103,3,8/12/2020,0,0
1,103,3,8/26/2020,0,0
2,402,2,6/16/2020,0,0
2,402,2,6/18/2020,0,0
2,402,2,8/11/2020,9,2
2,402,2,8/25/2020,7,1
2,402,2,8/28/2020,0,0
2,402,2,9/8/2020,17,4
2,402,2,7/27/2020,1,1
2,402,2,7/13/2020,0,0
2,402,2,6/30/2020,0,0
2,402,2,7/14/2020,0,0
2,402,2,8/12/2020,0,0
2,402,2,8/26/2020,0,0
3,603,4,6/16/2020,0,0
3,603,4,6/18/2020,0,0
3,603,4,8/11/2020,3,3
3,603,4,8/25/2020,5,1
3,603,4,8/28/2020,0,0
3,603,4,9/8/2020,16,3
3,603,4,7/27/2020,2,2
3,603,4,7/13/2020,5,2
3,603,4,6/30/2020,0,0
3,603,4,7/14/2020,0,0
3,603,4,8/12/2020,0,0
3,603,4,8/26/2020,0,0
4,704,5,6/16/2020,0,0
4,704,5,6/18/2020,0,0
4,704,5,8/11/2020,13,3
4,704,5,8/25/2020,4,2
4,704,5,8/28/2020,0,0
4,704,5,9/8/2020,6,3
4,704,5,7/27/2020,1,1
4,704,5,7/13/2020,2,2
4,704,5,6/30/2020,0,0
4,704,5,7/14/2020,0,0
4,704,5,8/12/2020,0,0
4,704,5,8/26/2020,0,0
1,102,2,6/16/2020,0,0
1,102,2,6/18/2020,0,0
1,102,2,8/11/2020,0,0
1,102,2,8/25/2020,3,2
1,102,2,8/28/2020,0,0
1,102,2,9/8/2020,16,5
1,102,2,7/27/2020,4,1
1,102,2,7/13/2020,0,0
1,102,2,6/30/2020,0,0
1,102,2,7/14/2020,0,0
1,102,2,8/12/2020,0,0
1,102,2,8/26/2020,0,0
1,104,7,6/16/2020,0,0
1,104,7,6/18/2020,0,0
1,104,7,8/11/2020,3,1
1,104,7,8/25/2020,4,3
1,104,7,8/28/2020,0,0
1,104,7,9/8/2020,12,2
1,104,7,7/27/2020,1,1
1,104,7,7/13/2020,1,1
1,104,7,6/30/2020,0,0
1,104,7,7/14/2020,0,0
1,104,7,8/12/2020,0,0
1,104,7,8/26/2020,0,0
2,403,7,6/16/2020,0,0
2,403,7,6/18/2020,0,0
2,403,7,8/11/2020,4,1
2,403,7,8/25/2020,5,1
2,403,7,8/28/2020,0,0
2,403,7,9/8/2020,12,2
2,403,7,7/27/2020,0,0
2,403,7,7/13/2020,5,1
2,403,7,6/30/2020,0,0
2,403,7,7/14/2020,0,0
2,403,7,8/12/2020,0,0
2,403,7,8/26/2020,0,0
3,601,1,6/16/2020,0,0
3,601,1,6/18/2020,0,0
3,601,1,8/11/2020,9,2
3,601,1,8/25/2020,2,1
3,601,1,8/28/2020,0,0
3,601,1,9/8/2020,12,3
3,601,1,7/27/2020,3,2
3,601,1,7/13/2020,1,1
3,601,1,6/30/2020,0,0
3,601,1,7/14/2020,0,0
3,601,1,8/12/2020,0,0
3,601,1,8/26/2020,0,0
4,802,3,6/16/2020,0,0
4,802,3,6/18/2020,0,0
4,802,3,8/11/2020,1,1
4,802,3,8/25/2020,3,1
4,802,3,8/28/2020,0,0
4,802,3,9/8/2020,10,2
4,802,3,7/27/2020,0,0
4,802,3,7/13/2020,0,0
4,802,3,6/30/2020,0,0
4,802,3,7/14/2020,0,0
4,802,3,8/12/2020,0,0
4,802,3,8/26/2020,0,0
3,504,3,6/16/2020,0,0
3,504,3,6/18/2020,0,0
3,504,3,8/11/2020,6,1
3,504,3,8/25/2020,10,2
3,504,3,8/28/2020,0,0
3,504,3,9/8/2020,6,1
3,504,3,7/27/2020,2,1
3,504,3,7/13/2020,0,0
3,504,3,6/30/2020,0,0
3,504,3,7/14/2020,0,0
3,504,3,8/12/2020,0,0
3,504,3,8/26/2020,0,0
4,703,6,6/16/2020,0,0
4,703,6,6/18/2020,0,0
4,703,6,8/11/2020,10,2
4,703,6,8/25/2020,8,2
4,703,6,8/28/2020,0,0
4,703,6,9/8/2020,9,3
